Category,URL,회사명,타이틀
데이터,https://www.wanted.co.kr/wd/177463,플래티어,[그루비 SaaS 솔루션] 데이터 분석가
데이터,https://www.wanted.co.kr/wd/79771,데이터뱅크,시니어 백엔드 개발자
데이터,https://www.wanted.co.kr/wd/176461,모비데이즈(Mobidays),[마케팅사업본부] 데이터팀 팀원
데이터,https://www.wanted.co.kr/wd/192791,알라딘커뮤니케이션,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/185193,데이터뱅크,Product Designer (3년 이상)
데이터,https://www.wanted.co.kr/wd/142573,한국신용데이터(KCD),[2600억↑투자] Sr. Product Manager (매장 Team)
데이터,https://www.wanted.co.kr/wd/190361,한국부동산데이터연구소,[내집스캔] 개발 리드 (5년 이상)
데이터,https://www.wanted.co.kr/wd/178125,서클플랫폼,데이터 스크래핑 엔지니어
데이터,https://www.wanted.co.kr/wd/185414,인텔렉추얼데이터,Business Development(기획지원) 주니어 매니저
데이터,https://www.wanted.co.kr/wd/85810,아우름플래닛(LINER),[100억↑투자] 프로덕트 데이터 분석가
데이터,https://www.wanted.co.kr/wd/163197,씨제이대한통운(CJ대한통운),데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/187080,에이치엠씨네트웍스,데이터 엔지니어/DBA
데이터,https://www.wanted.co.kr/wd/84863,교보문고,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/178270,뱅크샐러드,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/159253,핵클(Hackle),"데이터 엔지니어 (Software Engineer, Data Engineering)"
데이터,https://www.wanted.co.kr/wd/177600,데이터라이즈,[100억↑투자] Data Analyst (2년 이상)
데이터,https://www.wanted.co.kr/wd/183723,데이터뱅크,COO
데이터,https://www.wanted.co.kr/wd/165384,레몬베이스,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/178145,페이히어,[200억↑투자] 데이터 분석가
데이터,https://www.wanted.co.kr/wd/30355,매스프레소(콴다),[100억↑투자] Data Analyst
데이터,https://www.wanted.co.kr/wd/190673,앳홈,데이터분석
